t1,t0,S0,S1,F,K,r_diff,FX_EWI,sigma,IZ,P_breach,LossAlert,h,eff_P0,eff_P1,eff_P2,cancelled,unwind_P1,unwind_P2,pnl_P0,pnl_P1,pnl_P2,cost_P1,cost_P2
2024-01-31,2023-11-03,1333.6800537109375,1326.6199951171875,1328.941239396175,1306.4482121543278,-0.014399999999999996,77.69373903590325,0.07493984715901046,0,0.3028101780021482,0.23526454947114314,0.5,1326.6199951171875,1326.941239396175,1326.7806172566811,0,0.0,0.0,10085891.481429826,10246513.620923566,10166202.55117664,1000000.0,500000.0
2024-02-29,2023-12-04,1299.18994140625,1333.3800048828125,1294.6056211767404,1304.840075780475,-0.0143,85.64332323694195,0.10489776050311478,1,0.3719555898013517,0.3185551280714455,0.5,1333.3800048828125,1292.6056211767404,1312.9928130297765,0,0.0,0.0,14269964.551168755,-6117227.301867274,4076368.6246507405,1000000.0,500000.0
2024-03-31,2024-01-03,1307.6199951171875,1345.31005859375,1302.7798263463953,1307.3905925447978,-0.015,80.10164637323248,0.11863249440714936,1,0.3492140185438331,0.2797261782197357,0.5,1345.31005859375,1300.7798263463953,1323.0449424700728,0,0.0,0.0,18959733.024476122,-3305383.099201208,7827174.962637514,1000000.0,500000.0
2024-04-30,2024-02-02,1328.949951171875,1385.4599609375,1323.899528140992,1314.6807125031003,-0.015400000000000004,21.947254254674377,0.09050709783376831,0,0.4104611275832921,0.0900849472873085,0.0,1385.4599609375,1321.899528140992,1385.4599609375,0,0.0,0.0,35389624.21719987,3609407.818945897,35389624.21719987,1000000.0,0.0
2024-05-30,2024-03-05,1328.93994140625,1375.6199951171875,1323.7583775846626,1316.9157133556548,-0.01580000000000001,14.036525826244453,0.06789544215657087,0,0.3997965688633425,0.05611754864094226,0.0,1375.6199951171875,1321.7583775846626,1375.6199951171875,0,0.0,0.0,29352140.880766343,2421332.1145039117,29352140.880766343,1000000.0,0.0
2024-06-30,2024-04-02,1350.72998046875,1380.2900390625,1345.2299941211527,1319.1346837603858,-0.0165,52.7321341583624,0.06984685821644233,1,0.18480733518308554,0.09745285192323914,0.0,1380.2900390625,1343.2299941211527,1380.2900390625,0,0.0,0.0,30577677.651057117,12047655.180383459,30577677.651057117,1000000.0,0.0
2024-07-31,2024-05-05,1355.050048828125,1367.9200439453125,1349.5328802147592,1322.6702774290054,-0.016499999999999994,75.93522608473093,0.0835578703776831,1,0.20571476003760414,0.15620996812421642,0.5,1367.9200439453125,1347.5328802147592,1357.7264620800358,0,0.0,0.0,22624883.258153547,12431301.39287689,17528092.325515218,1000000.0,500000.0
2024-08-29,2024-06-03,1370.7900390625,1332.8800048828125,1365.1750968899594,1327.420398530506,-0.016599999999999997,35.39611917576653,0.06919771937253741,0,0.19771332508857006,0.06998284417472096,0.0,1332.8800048828125,1363.1750968899594,1332.8800048828125,0,0.0,0.0,2729803.176153268,17877349.17972671,2729803.176153268,1000000.0,0.0
2024-09-30,2024-07-03,1385.77001953125,1315.3299560546875,1379.956652062088,1334.9928201342386,-0.017,48.42457621091082,0.06536167478147707,0,0.15253856367879742,0.073866153019668,0.0,1315.3299560546875,1377.956652062088,1315.3299560546875,0,0.0,0.0,-9831432.039775563,21481915.963924736,-9831432.039775563,1000000.0,0.0
2024-10-31,2024-08-04,1357.1700439453125,1378.5699462890625,1351.9765775384114,1342.14111328125,-0.015499999999999993,83.49034376486605,0.06598256690234662,1,0.2622995431669357,0.21899479028374788,0.5,1378.5699462890625,1349.9765775384114,1364.2732619137369,0,0.0,0.0,18214416.50390625,3917732.128580724,11066074.31624343,1000000.0,500000.0
